	指标	地区	年	数据	行业	行业指标
28	制造业私营企业和个体就业人员	河北省	2010	148.8948	制造业	人员
29	制造业私营企业和个体就业人员	河北省	2009	159.2407	制造业	人员
30	制造业私营企业和个体就业人员	山西省	2018		制造业	人员
31	制造业私营企业和个体就业人员	山西省	2017	71.6414	制造业	人员
32	制造业私营企业和个体就业人员	山西省	2016	68.8515	制造业	人员
33	制造业私营企业和个体就业人员	山西省	2015	65.5013	制造业	人员
34	制造业私营企业和个体就业人员	山西省	2014	67.4875	制造业	人员
35	制造业私营企业和个体就业人员	山西省	2013	64.7441	制造业	人员
36	制造业私营企业和个体就业人员	山西省	2012	62.9286	制造业	人员
37	制造业私营企业和个体就业人员	山西省	2011	45.0958	制造业	人员
38	制造业私营企业和个体就业人员	山西省	2010	45.2883	制造业	人员
39	制造业私营企业和个体就业人员	山西省	2009	39.0377	制造业	人员
40	制造业私营企业和个体就业人员	内蒙古自治区	2018		制造业	人员
41	制造业私营企业和个体就业人员	内蒙古自治区	2017	45.6485	制造业	人员
42	制造业私营企业和个体就业人员	内蒙古自治区	2016	42.924	制造业	人员
43	制造业私营企业和个体就业人员	内蒙古自治区	2015	39.0283	制造业	人员
44	制造业私营企业和个体就业人员	内蒙古自治区	2014	48.507	制造业	人员
45	制造业私营企业和个体就业人员	内蒙古自治区	2013	50.3045	制造业	人员
46	制造业私营企业和个体就业人员	内蒙古自治区	2012	35.0493	制造业	人员
47	制造业私营企业和个体就业人员	内蒙古自治区	2011	32.1613	制造业	人员
48	制造业私营企业和个体就业人员	内蒙古自治区	2010	30.888	制造业	人员
49	制造业私营企业和个体就业人员	内蒙古自治区	2009	29.1194	制造业	人员
50	制造业私营企业和个体就业人员	辽宁省	2018		制造业	人员
51	制造业私营企业和个体就业人员	辽宁省	2017	175.2679	制造业	人员
52	制造业私营企业和个体就业人员	辽宁省	2016	151.9173	制造业	人员
53	制造业私营企业和个体就业人员	辽宁省	2015	177.6961	制造业	人员
54	制造业私营企业和个体就业人员	辽宁省	2014	161.4471	制造业	人员
55	制造业私营企业和个体就业人员	辽宁省	2013	144.6461	制造业	人员
56	制造业私营企业和个体就业人员	辽宁省	2012	151.0969	制造业	人员
57	制造业私营企业和个体就业人员	辽宁省	2011	154.9917	制造业	人员
58	制造业私营企业和个体就业人员	辽宁省	2010	149.8549	制造业	人员
59	制造业私营企业和个体就业人员	辽宁省	2009	142.6173	制造业	人员
60	制造业私营企业和个体就业人员	吉林省	2018		制造业	人员
61	制造业私营企业和个体就业人员	吉林省	2017	60.7971	制造业	人员
62	制造业私营企业和个体就业人员	吉林省	2016	59.8845	制造业	人员
63	制造业私营企业和个体就业人员	吉林省	2015	64.8871	制造业	人员
64	制造业私营企业和个体就业人员	吉林省	2014	58.5084	制造业	人员
65	制造业私营企业和个体就业人员	吉林省	2013	55.4639	制造业	人员
66	制造业私营企业和个体就业人员	吉林省	2012	51.6105	制造业	人员
67	制造业私营企业和个体就业人员	吉林省	2011	51.1068	制造业	人员
68	制造业私营企业和个体就业人员	吉林省	2010	40.907	制造业	人员
69	制造业私营企业和个体就业人员	吉林省	2009	38.7087	制造业	人员
70	制造业私营企业和个体就业人员	黑龙江省	2018		制造业	人员
71	制造业私营企业和个体就业人员	黑龙江省	2017	31.9241	制造业	人员
72	制造业私营企业和个体就业人员	黑龙江省	2016	26.9622	制造业	人员
73	制造业私营企业和个体就业人员	黑龙江省	2015	23.3217	制造业	人员
74	制造业私营企业和个体就业人员	黑龙江省	2014	58.4612	制造业	人员
75	制造业私营企业和个体就业人员	黑龙江省	2013	63.5661	制造业	人员
76	制造业私营企业和个体就业人员	黑龙江省	2012	61.3344	制造业	人员
77	制造业私营企业和个体就业人员	黑龙江省	2011	57.2036	制造业	人员
78	制造业私营企业和个体就业人员	黑龙江省	2010	51.9892	制造业	人员
79	制造业私营企业和个体就业人员	黑龙江省	2009	54.208	制造业	人员
80	制造业私营企业和个体就业人员	上海市	2018		制造业	人员
81	制造业私营企业和个体就业人员	上海市	2017	132.0454	制造业	人员
82	制造业私营企业和个体就业人员	上海市	2016	133.8594	制造业	人员
83	制造业私营企业和个体就业人员	上海市	2015	139.8201	制造业	人员
84	制造业私营企业和个体就业人员	上海市	2014	136.6591	制造业	人员
85	制造业私营企业和个体就业人员	上海市	2013	131.1002	制造业	人员
86	制造业私营企业和个体就业人员	上海市	2012	130.813	制造业	人员
87	制造业私营企业和个体就业人员	上海市	2011	132.269	制造业	人员
88	制造业私营企业和个体就业人员	上海市	2010	131.9142	制造业	人员
89	制造业私营企业和个体就业人员	上海市	2009	130.1897	制造业	人员
90	制造业私营企业和个体就业人员	江苏省	2018		制造业	人员
91	制造业私营企业和个体就业人员	江苏省	2017	1027.6005	制造业	人员
92	制造业私营企业和个体就业人员	江苏省	2016	1005.4165	制造业	人员
93	制造业私营企业和个体就业人员	江苏省	2015	975.5959	制造业	人员
94	制造业私营企业和个体就业人员	江苏省	2014	978.1066	制造业	人员
95	制造业私营企业和个体就业人员	江苏省	2013	978.0991	制造业	人员
96	制造业私营企业和个体就业人员	江苏省	2012	893.7942	制造业	人员
97	制造业私营企业和个体就业人员	江苏省	2011	879.7808	制造业	人员
98	制造业私营企业和个体就业人员	江苏省	2010	867.1629	制造业	人员
99	制造业私营企业和个体就业人员	江苏省	2009	785.3835	制造业	人员
100	制造业私营企业和个体就业人员	浙江省	2018		制造业	人员
101	制造业私营企业和个体就业人员	浙江省	2017	971.6011	制造业	人员
102	制造业私营企业和个体就业人员	浙江省	2016	961.9830000000001	制造业	人员
103	制造业私营企业和个体就业人员	浙江省	2015	940.5535	制造业	人员
104	制造业私营企业和个体就业人员	浙江省	2014	862.2011	制造业	人员
105	制造业私营企业和个体就业人员	浙江省	2013	838.7687	制造业	人员
106	制造业私营企业和个体就业人员	浙江省	2012	708.153	制造业	人员
107	制造业私营企业和个体就业人员	浙江省	2011	691.5591	制造业	人员
108	制造业私营企业和个体就业人员	浙江省	2010	638.1956	制造业	人员
109	制造业私营企业和个体就业人员	浙江省	2009	569.9241	制造业	人员
110	制造业私营企业和个体就业人员	安徽省	2018		制造业	人员
111	制造业私营企业和个体就业人员	安徽省	2017	206.1933	制造业	人员
112	制造业私营企业和个体就业人员	安徽省	2016	185.8544	制造业	人员
113	制造业私营企业和个体就业人员	安徽省	2015	170.047	制造业	人员
114	制造业私营企业和个体就业人员	安徽省	2014	157.8381	制造业	人员
115	制造业私营企业和个体就业人员	安徽省	2013	153.4608	制造业	人员
116	制造业私营企业和个体就业人员	安徽省	2012	131.7655	制造业	人员
117	制造业私营企业和个体就业人员	安徽省	2011	119.6238	制造业	人员
118	制造业私营企业和个体就业人员	安徽省	2010	100.6176	制造业	人员
119	制造业私营企业和个体就业人员	安徽省	2009	83.5564	制造业	人员
120	制造业私营企业和个体就业人员	福建省	2018		制造业	人员
121	制造业私营企业和个体就业人员	福建省	2017	250.3709	制造业	人员
122	制造业私营企业和个体就业人员	福建省	2016	223.8707	制造业	人员
123	制造业私营企业和个体就业人员	福建省	2015	193.5412	制造业	人员
124	制造业私营企业和个体就业人员	福建省	2014	169.7751	制造业	人员
125	制造业私营企业和个体就业人员	福建省	2013	151.6667	制造业	人员
126	制造业私营企业和个体就业人员	福建省	2012	138.8	制造业	人员
127	制造业私营企业和个体就业人员	福建省	2011	129.5201	制造业	人员
128	制造业私营企业和个体就业人员	福建省	2010	118.5953	制造业	人员
129	制造业私营企业和个体就业人员	福建省	2009	110.9486	制造业	人员
130	制造业私营企业和个体就业人员	江西省	2018		制造业	人员
131	制造业私营企业和个体就业人员	江西省	2017	166.8914	制造业	人员
132	制造业私营企业和个体就业人员	江西省	2016	163.1779	制造业	人员
133	制造业私营企业和个体就业人员	江西省	2015	161.681	制造业	人员
134	制造业私营企业和个体就业人员	江西省	2014	149.0935	制造业	人员
135	制造业私营企业和个体就业人员	江西省	2013	134.2881	制造业	人员
136	制造业私营企业和个体就业人员	江西省	2012	138.4912	制造业	人员
137	制造业私营企业和个体就业人员	江西省	2011	140.2592	制造业	人员
138	制造业私营企业和个体就业人员	江西省	2010	161.9266	制造业	人员
139	制造业私营企业和个体就业人员	江西省	2009	119.4594	制造业	人员
140	制造业私营企业和个体就业人员	山东省	2018		制造业	人员
141	制造业私营企业和个体就业人员	山东省	2017	505.6621	制造业	人员
142	制造业私营企业和个体就业人员	山东省	2016	456.218	制造业	人员
143	制造业私营企业和个体就业人员	山东省	2015	401.0931	制造业	人员
144	制造业私营企业和个体就业人员	山东省	2014	377.1112	制造业	人员
145	制造业私营企业和个体就业人员	山东省	2013	354.2257	制造业	人员
146	制造业私营企业和个体就业人员	山东省	2012	352.2587	制造业	人员
147	制造业私营企业和个体就业人员	山东省	2011	337.531	制造业	人员
148	制造业私营企业和个体就业人员	山东省	2010	340.0861	制造业	人员
149	制造业私营企业和个体就业人员	山东省	2009	309.2446	制造业	人员
150	制造业私营企业和个体就业人员	河南省	2018		制造业	人员
151	制造业私营企业和个体就业人员	河南省	2017	203.5344	制造业	人员
152	制造业私营企业和个体就业人员	河南省	2016	181.3684	制造业	人员
153	制造业私营企业和个体就业人员	河南省	2015	164.197	制造业	人员
154	制造业私营企业和个体就业人员	河南省	2014	157.2776	制造业	人员
155	制造业私营企业和个体就业人员	河南省	2013	145.0396	制造业	人员
156	制造业私营企业和个体就业人员	河南省	2012	176.38299999999998	制造业	人员
157	制造业私营企业和个体就业人员	河南省	2011	166.828	制造业	人员
158	制造业私营企业和个体就业人员	河南省	2010	153.0374	制造业	人员
159	制造业私营企业和个体就业人员	河南省	2009	136.7107	制造业	人员
160	制造业私营企业和个体就业人员	湖北省	2018		制造业	人员
161	制造业私营企业和个体就业人员	湖北省	2017	182.3912	制造业	人员
162	制造业私营企业和个体就业人员	湖北省	2016	184.6565	制造业	人员
163	制造业私营企业和个体就业人员	湖北省	2015	191.5351	制造业	人员
164	制造业私营企业和个体就业人员	湖北省	2014	211.9083	制造业	人员
165	制造业私营企业和个体就业人员	湖北省	2013	180.3247	制造业	人员
166	制造业私营企业和个体就业人员	湖北省	2012	153.9489	制造业	人员
167	制造业私营企业和个体就业人员	湖北省	2011	130.5822	制造业	人员
168	制造业私营企业和个体就业人员	湖北省	2010	115.2748	制造业	人员
169	制造业私营企业和个体就业人员	湖北省	2009	112.7478	制造业	人员
170	制造业私营企业和个体就业人员	湖南省	2018		制造业	人员
171	制造业私营企业和个体就业人员	湖南省	2017	69.2528	制造业	人员
172	制造业私营企业和个体就业人员	湖南省	2016	72.6358	制造业	人员
173	制造业私营企业和个体就业人员	湖南省	2015	116.6722	制造业	人员
174	制造业私营企业和个体就业人员	湖南省	2014	113.5789	制造业	人员
175	制造业私营企业和个体就业人员	湖南省	2013	100.1966	制造业	人员
176	制造业私营企业和个体就业人员	湖南省	2012	91.6931	制造业	人员
177	制造业私营企业和个体就业人员	湖南省	2011	86.6942	制造业	人员
178	制造业私营企业和个体就业人员	湖南省	2010	80.7345	制造业	人员
179	制造业私营企业和个体就业人员	湖南省	2009	68.9746	制造业	人员
180	制造业私营企业和个体就业人员	广东省	2018		制造业	人员
181	制造业私营企业和个体就业人员	广东省	2017	701.9791	制造业	人员
182	制造业私营企业和个体就业人员	广东省	2016	643.9106	制造业	人员
183	制造业私营企业和个体就业人员	广东省	2015	587.6754	制造业	人员
184	制造业私营企业和个体就业人员	广东省	2014	541.4246	制造业	人员
185	制造业私营企业和个体就业人员	广东省	2013	483.4596	制造业	人员
186	制造业私营企业和个体就业人员	广东省	2012	454.8611	制造业	人员
187	制造业私营企业和个体就业人员	广东省	2011	437.2499	制造业	人员
188	制造业私营企业和个体就业人员	广东省	2010	419.9135	制造业	人员
189	制造业私营企业和个体就业人员	广东省	2009	435.5931	制造业	人员
190	制造业私营企业和个体就业人员	广西壮族自治区	2018		制造业	人员
191	制造业私营企业和个体就业人员	广西壮族自治区	2017	68.8205	制造业	人员
192	制造业私营企业和个体就业人员	广西壮族自治区	2016	64.4372	制造业	人员
193	制造业私营企业和个体就业人员	广西壮族自治区	2015	66.1808	制造业	人员
194	制造业私营企业和个体就业人员	广西壮族自治区	2014	64.7713	制造业	人员
195	制造业私营企业和个体就业人员	广西壮族自治区	2013	64.2173	制造业	人员
196	制造业私营企业和个体就业人员	广西壮族自治区	2012	64.4377	制造业	人员
197	制造业私营企业和个体就业人员	广西壮族自治区	2011	66.7249	制造业	人员
198	制造业私营企业和个体就业人员	广西壮族自治区	2010	67.2048	制造业	人员
199	制造业私营企业和个体就业人员	广西壮族自治区	2009	63.6561	制造业	人员
200	制造业私营企业和个体就业人员	海南省	2018		制造业	人员
201	制造业私营企业和个体就业人员	海南省	2017	7.1123	制造业	人员
202	制造业私营企业和个体就业人员	海南省	2016	7.3181	制造业	人员
203	制造业私营企业和个体就业人员	海南省	2015	7.8373	制造业	人员
204	制造业私营企业和个体就业人员	海南省	2014	7.4492	制造业	人员
205	制造业私营企业和个体就业人员	海南省	2013	12.7895	制造业	人员
206	制造业私营企业和个体就业人员	海南省	2012	6.2652	制造业	人员
207	制造业私营企业和个体就业人员	海南省	2011	6.2854	制造业	人员
208	制造业私营企业和个体就业人员	海南省	2010	5.9174	制造业	人员
209	制造业私营企业和个体就业人员	海南省	2009	5.3628	制造业	人员
210	制造业私营企业和个体就业人员	重庆市	2018		制造业	人员
211	制造业私营企业和个体就业人员	重庆市	2017	100.9572	制造业	人员
212	制造业私营企业和个体就业人员	重庆市	2016	97.4418	制造业	人员
213	制造业私营企业和个体就业人员	重庆市	2015	94.9449	制造业	人员
214	制造业私营企业和个体就业人员	重庆市	2014	88.0771	制造业	人员
215	制造业私营企业和个体就业人员	重庆市	2013	78.7994	制造业	人员
216	制造业私营企业和个体就业人员	重庆市	2012	70.398	制造业	人员
217	制造业私营企业和个体就业人员	重庆市	2011	63.0073	制造业	人员
218	制造业私营企业和个体就业人员	重庆市	2010	49.8238	制造业	人员
219	制造业私营企业和个体就业人员	重庆市	2009	48.2266	制造业	人员
220	制造业私营企业和个体就业人员	四川省	2018		制造业	人员
221	制造业私营企业和个体就业人员	四川省	2017	72.145	制造业	人员
222	制造业私营企业和个体就业人员	四川省	2016	126.3409	制造业	人员
223	制造业私营企业和个体就业人员	四川省	2015	132.4556	制造业	人员
224	制造业私营企业和个体就业人员	四川省	2014	160.0902	制造业	人员
225	制造业私营企业和个体就业人员	四川省	2013	125.6575	制造业	人员
226	制造业私营企业和个体就业人员	四川省	2012	132.7529	制造业	人员
227	制造业私营企业和个体就业人员	四川省	2011	127.0095	制造业	人员
228	制造业私营企业和个体就业人员	四川省	2010	136.2486	制造业	人员
229	制造业私营企业和个体就业人员	四川省	2009	135.291	制造业	人员
230	制造业私营企业和个体就业人员	贵州省	2018		制造业	人员
231	制造业私营企业和个体就业人员	贵州省	2017	53.258	制造业	人员
232	制造业私营企业和个体就业人员	贵州省	2016	47.8646	制造业	人员
233	制造业私营企业和个体就业人员	贵州省	2015	42.5667	制造业	人员
234	制造业私营企业和个体就业人员	贵州省	2014	47.1771	制造业	人员
235	制造业私营企业和个体就业人员	贵州省	2013	37.7112	制造业	人员
236	制造业私营企业和个体就业人员	贵州省	2012	30.279	制造业	人员
237	制造业私营企业和个体就业人员	贵州省	2011	27.6796	制造业	人员
238	制造业私营企业和个体就业人员	贵州省	2010	23.6392	制造业	人员
239	制造业私营企业和个体就业人员	贵州省	2009	23.336	制造业	人员
240	制造业私营企业和个体就业人员	云南省	2018		制造业	人员
241	制造业私营企业和个体就业人员	云南省	2017	80.5587	制造业	人员
242	制造业私营企业和个体就业人员	云南省	2016	77.0113	制造业	人员
243	制造业私营企业和个体就业人员	云南省	2015	72.7098	制造业	人员
244	制造业私营企业和个体就业人员	云南省	2014	74.9271	制造业	人员
245	制造业私营企业和个体就业人员	云南省	2013	70.9844	制造业	人员
246	制造业私营企业和个体就业人员	云南省	2012	70.6935	制造业	人员
247	制造业私营企业和个体就业人员	云南省	2011	68.9394	制造业	人员
248	制造业私营企业和个体就业人员	云南省	2010	66.0441	制造业	人员
249	制造业私营企业和个体就业人员	云南省	2009	60.2842	制造业	人员
250	制造业私营企业和个体就业人员	西藏自治区	2018		制造业	人员
251	制造业私营企业和个体就业人员	西藏自治区	2017	6.1159	制造业	人员
252	制造业私营企业和个体就业人员	西藏自治区	2016	5.3572	制造业	人员
253	制造业私营企业和个体就业人员	西藏自治区	2015	3.8734	制造业	人员
254	制造业私营企业和个体就业人员	西藏自治区	2014	3.034	制造业	人员
255	制造业私营企业和个体就业人员	西藏自治区	2013	2.6202	制造业	人员
256	制造业私营企业和个体就业人员	西藏自治区	2012	2.8421	制造业	人员
257	制造业私营企业和个体就业人员	西藏自治区	2011	2.6519	制造业	人员
258	制造业私营企业和个体就业人员	西藏自治区	2010	2.1163	制造业	人员
259	制造业私营企业和个体就业人员	西藏自治区	2009	1.9071	制造业	人员
260	制造业私营企业和个体就业人员	陕西省	2018		制造业	人员
261	制造业私营企业和个体就业人员	陕西省	2017	42.7954	制造业	人员
262	制造业私营企业和个体就业人员	陕西省	2016	41.1398	制造业	人员
263	制造业私营企业和个体就业人员	陕西省	2015	41.3463	制造业	人员
264	制造业私营企业和个体就业人员	陕西省	2014	52.0807	制造业	人员
265	制造业私营企业和个体就业人员	陕西省	2013	47.9272	制造业	人员
266	制造业私营企业和个体就业人员	陕西省	2012	46.5266	制造业	人员
267	制造业私营企业和个体就业人员	陕西省	2011	45.0922	制造业	人员
268	制造业私营企业和个体就业人员	陕西省	2010	66.5879	制造业	人员
269	制造业私营企业和个体就业人员	陕西省	2009	52.2443	制造业	人员
270	制造业私营企业和个体就业人员	甘肃省	2018		制造业	人员
271	制造业私营企业和个体就业人员	甘肃省	2017	35.6689	制造业	人员
272	制造业私营企业和个体就业人员	甘肃省	2016	34.0449	制造业	人员
273	制造业私营企业和个体就业人员	甘肃省	2015	33.1069	制造业	人员
274	制造业私营企业和个体就业人员	甘肃省	2014	30.1416	制造业	人员
275	制造业私营企业和个体就业人员	甘肃省	2013	27.3603	制造业	人员
276	制造业私营企业和个体就业人员	甘肃省	2012	24.7189	制造业	人员
277	制造业私营企业和个体就业人员	甘肃省	2011	23.4608	制造业	人员
278	制造业私营企业和个体就业人员	甘肃省	2010	21.6296	制造业	人员
279	制造业私营企业和个体就业人员	甘肃省	2009	20.2038	制造业	人员
280	制造业私营企业和个体就业人员	青海省	2018		制造业	人员
281	制造业私营企业和个体就业人员	青海省	2017	7.9041	制造业	人员
282	制造业私营企业和个体就业人员	青海省	2016	7.1989	制造业	人员
283	制造业私营企业和个体就业人员	青海省	2015	6.9201	制造业	人员
284	制造业私营企业和个体就业人员	青海省	2014	8.7763	制造业	人员
285	制造业私营企业和个体就业人员	青海省	2013	10.3365	制造业	人员
286	制造业私营企业和个体就业人员	青海省	2012	11.5393	制造业	人员
287	制造业私营企业和个体就业人员	青海省	2011	11.1667	制造业	人员
288	制造业私营企业和个体就业人员	青海省	2010	11.0464	制造业	人员
289	制造业私营企业和个体就业人员	青海省	2009	10.7025	制造业	人员
290	制造业私营企业和个体就业人员	宁夏回族自治区	2018		制造业	人员
291	制造业私营企业和个体就业人员	宁夏回族自治区	2017	12.2167	制造业	人员
292	制造业私营企业和个体就业人员	宁夏回族自治区	2016	11.4982	制造业	人员
293	制造业私营企业和个体就业人员	宁夏回族自治区	2015	11.9417	制造业	人员
294	制造业私营企业和个体就业人员	宁夏回族自治区	2014	11.1079	制造业	人员
295	制造业私营企业和个体就业人员	宁夏回族自治区	2013	10.089	制造业	人员
296	制造业私营企业和个体就业人员	宁夏回族自治区	2012	10.9504	制造业	人员
297	制造业私营企业和个体就业人员	宁夏回族自治区	2011	9.7936	制造业	人员
298	制造业私营企业和个体就业人员	宁夏回族自治区	2010	11.218	制造业	人员
299	制造业私营企业和个体就业人员	宁夏回族自治区	2009	9.493	制造业	人员
300	制造业私营企业和个体就业人员	新疆维吾尔自治区	2018		制造业	人员
301	制造业私营企业和个体就业人员	新疆维吾尔自治区	2017	39.4209	制造业	人员
302	制造业私营企业和个体就业人员	新疆维吾尔自治区	2016	37.5395	制造业	人员
303	制造业私营企业和个体就业人员	新疆维吾尔自治区	2015	34.3911	制造业	人员
304	制造业私营企业和个体就业人员	新疆维吾尔自治区	2014	31.7593	制造业	人员
305	制造业私营企业和个体就业人员	新疆维吾尔自治区	2013	32.9074	制造业	人员
306	制造业私营企业和个体就业人员	新疆维吾尔自治区	2012	28.3212	制造业	人员
307	制造业私营企业和个体就业人员	新疆维吾尔自治区	2011	26.4948	制造业	人员
308	制造业私营企业和个体就业人员	新疆维吾尔自治区	2010	26.5268	制造业	人员
309	制造业私营企业和个体就业人员	新疆维吾尔自治区	2009	24.988000000000003	制造业	人员
310	建筑业私营企业和个体就业人员	北京市	2018		建筑业	人员
311	建筑业私营企业和个体就业人员	北京市	2017	66.4914	建筑业	人员
312	建筑业私营企业和个体就业人员	北京市	2016	61.3296	建筑业	人员
313	建筑业私营企业和个体就业人员	北京市	2015	59.1879	建筑业	人员
314	建筑业私营企业和个体就业人员	北京市	2014	54.3795	建筑业	人员
315	建筑业私营企业和个体就业人员	北京市	2013	28.436	建筑业	人员
316	建筑业私营企业和个体就业人员	北京市	2012	26.0324	建筑业	人员
317	建筑业私营企业和个体就业人员	北京市	2011	24.264	建筑业	人员
318	建筑业私营企业和个体就业人员	北京市	2010	22.1125	建筑业	人员
319	建筑业私营企业和个体就业人员	北京市	2009	19.5778	建筑业	人员
320	建筑业私营企业和个体就业人员	天津市	2018		建筑业	人员
321	建筑业私营企业和个体就业人员	天津市	2017	9.5274	建筑业	人员
322	建筑业私营企业和个体就业人员	天津市	2016	8.77	建筑业	人员
323	建筑业私营企业和个体就业人员	天津市	2015	7.6539	建筑业	人员
324	建筑业私营企业和个体就业人员	天津市	2014	6.9493	建筑业	人员
325	建筑业私营企业和个体就业人员	天津市	2013	6.4616	建筑业	人员
326	建筑业私营企业和个体就业人员	天津市	2012	6.2078	建筑业	人员
327	建筑业私营企业和个体就业人员	天津市	2011	6.1772	建筑业	人员
328	建筑业私营企业和个体就业人员	天津市	2010	6.0352	建筑业	人员
329	建筑业私营企业和个体就业人员	天津市	2009	5.4255	建筑业	人员
330	建筑业私营企业和个体就业人员	河北省	2018		建筑业	人员
331	建筑业私营企业和个体就业人员	河北省	2017	31.3327	建筑业	人员
332	建筑业私营企业和个体就业人员	河北省	2016	23.851999999999997	建筑业	人员
333	建筑业私营企业和个体就业人员	河北省	2015	17.7752	建筑业	人员
334	建筑业私营企业和个体就业人员	河北省	2014	14.0721	建筑业	人员
335	建筑业私营企业和个体就业人员	河北省	2013	12.9921	建筑业	人员
336	建筑业私营企业和个体就业人员	河北省	2012	17.8891	建筑业	人员
337	建筑业私营企业和个体就业人员	河北省	2011	17.1762	建筑业	人员
338	建筑业私营企业和个体就业人员	河北省	2010	13.8246	建筑业	人员
339	建筑业私营企业和个体就业人员	河北省	2009	22.9789	建筑业	人员
340	建筑业私营企业和个体就业人员	山西省	2018		建筑业	人员
341	建筑业私营企业和个体就业人员	山西省	2017	19.0414	建筑业	人员
342	建筑业私营企业和个体就业人员	山西省	2016	17.4277	建筑业	人员
343	建筑业私营企业和个体就业人员	山西省	2015	16.7801	建筑业	人员
344	建筑业私营企业和个体就业人员	山西省	2014	17.4717	建筑业	人员
345	建筑业私营企业和个体就业人员	山西省	2013	14.4816	建筑业	人员
346	建筑业私营企业和个体就业人员	山西省	2012	12.5624	建筑业	人员
347	建筑业私营企业和个体就业人员	山西省	2011	7.7577	建筑业	人员
348	建筑业私营企业和个体就业人员	山西省	2010	5.5381	建筑业	人员
349	建筑业私营企业和个体就业人员	山西省	2009	4.5611	建筑业	人员
350	建筑业私营企业和个体就业人员	内蒙古自治区	2018		建筑业	人员
351	建筑业私营企业和个体就业人员	内蒙古自治区	2017	20.8524	建筑业	人员
352	建筑业私营企业和个体就业人员	内蒙古自治区	2016	15.3401	建筑业	人员
353	建筑业私营企业和个体就业人员	内蒙古自治区	2015	13.1058	建筑业	人员
354	建筑业私营企业和个体就业人员	内蒙古自治区	2014	13.4484	建筑业	人员
355	建筑业私营企业和个体就业人员	内蒙古自治区	2013	10.8598	建筑业	人员
356	建筑业私营企业和个体就业人员	内蒙古自治区	2012	12.4838	建筑业	人员
357	建筑业私营企业和个体就业人员	内蒙古自治区	2011	8.5696	建筑业	人员
358	建筑业私营企业和个体就业人员	内蒙古自治区	2010	8.0308	建筑业	人员
359	建筑业私营企业和个体就业人员	内蒙古自治区	2009	7.0547	建筑业	人员
360	建筑业私营企业和个体就业人员	辽宁省	2018		建筑业	人员
361	建筑业私营企业和个体就业人员	辽宁省	2017	47.7475	建筑业	人员
362	建筑业私营企业和个体就业人员	辽宁省	2016	33.7935	建筑业	人员
363	建筑业私营企业和个体就业人员	辽宁省	2015	31.889	建筑业	人员
364	建筑业私营企业和个体就业人员	辽宁省	2014	52.3176	建筑业	人员
365	建筑业私营企业和个体就业人员	辽宁省	2013	47.3091	建筑业	人员
366	建筑业私营企业和个体就业人员	辽宁省	2012	42.3127	建筑业	人员
367	建筑业私营企业和个体就业人员	辽宁省	2011	40.2365	建筑业	人员
368	建筑业私营企业和个体就业人员	辽宁省	2010	34.1694	建筑业	人员
369	建筑业私营企业和个体就业人员	辽宁省	2009	30.5936	建筑业	人员
370	建筑业私营企业和个体就业人员	吉林省	2018		建筑业	人员
371	建筑业私营企业和个体就业人员	吉林省	2017	42.9043	建筑业	人员
372	建筑业私营企业和个体就业人员	吉林省	2016	39.1396	建筑业	人员
373	建筑业私营企业和个体就业人员	吉林省	2015	38.316	建筑业	人员
374	建筑业私营企业和个体就业人员	吉林省	2014	34.5793	建筑业	人员
